Наименование услуги;  Стоимость;  Длительность;Описание;  Действующая скидка;Путь фото;;ID;Наименование услуги;;;;;;;
Замена сальника привода;3820;34200;;0,15;;;152;Замена сальника привода;;;;;;;#Н/Д
Замена кулисы АКПП;3250;21600;;0,1;;;153;Замена кулисы АКПП;;;;;;;#Н/Д
Замена тормозной жидкости;2200;21600;;0,1;;;154;Замена тормозной жидкости;;;;;;;#Н/Д
Ремонт компрессора кондиционера;4760;9000;;0,25;;;155;Ремонт компрессора кондиционера;;;;;;;#Н/Д
Ремонт автоэлектрики;4230;27000;;0,1;;;156;Ремонт автоэлектрики;;;;;;;#Н/Д
Наращивание ресниц;1430;2400;;0,05;;;157;Наращивание ресниц;;;;;;;#Н/Д
Замена лямбда зонда;770;16200;;0,05;;;158;Замена лямбда зонда;;;;;;;#Н/Д
Кузовной ремонт;2750;9000;;0,05;;;159;Кузовной ремонт;;;;;;;#Н/Д
Замена подшипника задней ступицы;1860;16200;;0,25;;;160;Замена подшипника задней ступицы;;;;;;;#Н/Д
Замена масла в МКПП;4490;32400;;0,2;;;161;Замена масла в МКПП;;;;;;;#Н/Д
Замена заднего сальника АКПП;1510;23400;;0,25;;;162;Замена заднего сальника АКПП;;;;;;;#Н/Д
Замена охлаждающей жидкости;1590;12600;;0;;;163;Замена охлаждающей жидкости;;;;;;;#Н/Д
Замена масла АКПП;2430;27000;;0,25;;;164;Замена масла АКПП;;;;;;;#Н/Д
Замена жидкости ГУР;2380;32400;;0,2;;;165;Замена жидкости ГУР;;;;;;;#Н/Д
Испанский массаж;2190;2400;;0,25;;;166;Испанский массаж;;;;;;;#Н/Д
Балансировка колес;4690;23400;;0,25;;;167;Балансировка колес;;;;;;;#Н/Д
Замена подшипника передней ступицы;4020;19800;;0,15;;;168;Замена подшипника передней ступицы;;;;;;;#Н/Д
Ремонт двигателя;2470;14400;;0,25;;;169;Ремонт двигателя;;;;;;;#Н/Д
Замена сцепления;4320;19800;;0;;;170;Замена сцепления;;;;;;;#Н/Д
Интенсивный курс с преподавателем-носителем португальского языка для компаний;1580;1800;;0;;;171;Интенсивный курс с преподавателем-носителем португальского языка для компаний;;;;;;;#Н/Д
Замена подшипника компрессора кондиционера;1110;19800;;0,2;;;172;Замена подшипника компрессора кондиционера;;;;;;;#Н/Д
Диагностика рулевого редуктора;2930;10800;;0,1;;;173;Диагностика рулевого редуктора;;;;;;;#Н/Д
Замена фильтров;530;12600;;0,15;;;174;Замена фильтров;;;;;;;#Н/Д
Ремонт глушителя;2100;9000;;0,25;;;175;Ремонт глушителя;;;;;;;#Н/Д
Чистка форсунок ультразвуком;3920;14400;;0,05;;;176;Чистка форсунок ультразвуком;;;;;;;#Н/Д
Замена масла заднего редуктора (моста);840;25200;;0,25;;;177;Замена масла заднего редуктора (моста);;;;;;;#Н/Д
Ремонт бензонасоса;500;12600;;0,15;;;178;Ремонт бензонасоса;;;;;;;#Н/Д
Антибактериальная обработка кондиционера;4580;27000;;0,2;;;179;Антибактериальная обработка кондиционера;;;;;;;#Н/Д
Замена ремня кондиционера;4650;28800;;0;;;180;Замена ремня кондиционера;;;;;;;#Н/Д
Ремонт и замена катализатора;500;16200;;0,25;;;181;Ремонт и замена катализатора;;;;;;;#Н/Д
Ремонт карданного вала;780;12600;;0,05;;;182;Ремонт карданного вала;;;;;;;#Н/Д
Установка сигнализации;1760;14400;;0;;;183;Установка сигнализации;;;;;;;#Н/Д
Ремонт кронштейна глушителя;1410;34200;;0;;;184;Ремонт кронштейна глушителя;;;;;;;#Н/Д
Замена трубки кондиционера;2810;10800;;0,15;;;185;Замена трубки кондиционера;;;;;;;#Н/Д
Диагностика подвески;1460;19800;;0;;;186;Диагностика подвески;;;;;;;#Н/Д
Замена масла в вариаторе;4720;7200;;0,05;;;187;Замена масла в вариаторе;;;;;;;#Н/Д
Замена тормозных колодок;4260;28800;;0,05;;;188;Замена тормозных колодок;;;;;;;#Н/Д
Покраска;2370;7200;;0,15;;;189;Покраска;;;;;;;#Н/Д
Ремонт сцепления;3290;36000;;0,25;;;190;Ремонт сцепления;;;;;;;#Н/Д
Диагностика трансмиссии;2790;7200;;0,2;;;191;Диагностика трансмиссии;;;;;;;#Н/Д
Диагностика выхлопной системы автомобиля;2550;10800;;0,25;;;192;Диагностика выхлопной системы автомобиля;;;;;;;#Н/Д
Диагностика инжектора;3390;19800;;0,05;;;193;Диагностика инжектора;;;;;;;#Н/Д
Замена троса сцепления;4460;28800;;0,05;;;194;Замена троса сцепления;;;;;;;#Н/Д
Замена маховика;2400;36000;;0,25;;;195;Замена маховика;;;;;;;#Н/Д
Ремонт стартера;2680;28800;;0;;;196;Ремонт стартера;;;;;;;#Н/Д
Снятие/установка форсунок;1470;18000;;0,25;;;197;Снятие/установка форсунок;;;;;;;#Н/Д
Замена ремня привода ГУР;3350;36000;;0;;;198;Замена ремня привода ГУР;;;;;;;#Н/Д
Замена свечей;2240;7200;;0,1;;;199;Замена свечей;;;;;;;#Н/Д
Развал-схождение;3890;10800;;0;;;200;Развал-схождение;;;;;;;#Н/Д
Замена рулевой тяги;570;10800;;0;;;201;Замена рулевой тяги;;;;;;;#Н/Д
